txn_id,user_id,merchant_id,payment_method,amount,merchant_category,is_international,payer_bank,payee_bank,issuer_type,device_type,os_version_major,app_version_major,is_rooted_or_jailbroken,sim_operator,network_type,latency_ms,packet_loss_pct,signal_strength_dbm,avg_txn_amount_30d,txn_count_24h,failed_txn_count_1h,chargeback_flag_180d,account_age_days,daily_limit_remaining,available_balance_est,velocity_score,risk_score,geo_distance_km_from_usual,txn_hour,day_of_week,is_night_txn,merchant_failure_rate_1h,bank_failure_rate_1h,failure_reason
T1000000,61646,5244,UPI,56.8,BILLS,0,ICICI,SBI,PUBLIC,ANDROID,11,6,0,AIRTEL,4G,102,1.35,-87,240.44,2,1,0,722,48004.38,356.28,30.3,0.3,8.79,10,2,0,0.0816,0.0384,MERCHANT_CONFIGURATION_ISSUE
T1000001,37475,2649,UPI,145.74,BILLS,0,ICICI,SBI,PRIVATE,ANDROID,14,10,0,JIO,4G,90,3.22,-94,149.3,0,1,0,592,33194.14,486.26,34.2,29.3,9.27,15,6,0,0.0416,0.012,INSUFFICIENT_FUNDS
T1000002,92086,6755,UPI,364.05,ECOM,0,HDFC,IDFC,PRIVATE,IOS,12,12,0,BSNL,4G,239,1.4,-87,63.95,5,2,0,5,60000.0,125.83,63.9,20.0,2.5,0,1,1,0.0165,0.0213,INSUFFICIENT_FUNDS
T1000003,57891,3227,UPI,75.31,TRAVEL,0,SBI,KOTAK,PRIVATE,ANDROID,11,6,0,AIRTEL,5G,141,0.63,-87,74.46,3,0,0,330,60000.0,117.73,22.4,11.9,7.88,11,4,0,0.0328,0.0882,BANK_SERVER_DOWN
T1000004,18513,7786,UPI,91.36,FUEL,0,PNB,KOTAK,COOP,ANDROID,8,17,0,AIRTEL,4G,124,1.35,-65,89.57,2,1,0,374,52710.86,189.28,52.3,20.2,3.22,0,5,1,0.057,0.0107,INSUFFICIENT_FUNDS
T1000005,82689,8343,CARD,330.39,GROCERY,0,IDFC,IDFC,PUBLIC,ANDROID,11,9,0,AIRTEL,4G,264,1.38,-86,98.4,3,0,0,328,54276.29,90.46,29.0,8.2,3.16,19,2,0,0.122,0.0019,INSUFFICIENT_FUNDS
T1000006,84408,4360,WALLET,132.85,ECOM,0,YES,AXIS,NBFC,ANDROID,8,12,1,JIO,4G,124,1.92,-92,63.61,3,1,1,5,37323.38,180.99,22.4,71.5,7.85,0,3,1,0.0962,0.0278,MERCHANT_CONFIGURATION_ISSUE
T1000007,35974,7883,UPI,177.16,FOOD,0,HDFC,KOTAK,PRIVATE,ANDROID,9,13,0,VI,4G,111,2.38,-78,241.92,2,1,0,5,29507.94,454.06,43.6,25.4,3.97,23,4,1,0.0998,0.0451,MERCHANT_CONFIGURATION_ISSUE
T1000008,91933,4736,CARD,69.24,BILLS,0,KOTAK,BOB,PRIVATE,ANDROID,14,10,0,JIO,WIFI,99,1.23,-87,51.76,1,0,0,755,60000.0,158.59,15.5,25.9,2.0,11,5,0,0.0079,0.0202,NETWORK_TIMEOUT
T1000009,89986,6918,UPI,82.51,GROCERY,0,ICICI,KOTAK,PUBLIC,WEB,0,12,0,AIRTEL,5G,89,0.68,-87,95.94,5,0,0,5,41990.62,208.09,41.4,14.4,1.94,14,2,0,0.0068,0.1347,BANK_SERVER_DOWN
T1000010,32888,1797,WALLET,239.68,BILLS,1,KOTAK,SBI,PRIVATE,ANDROID,9,14,0,JIO,4G,20,1.85,-82,119.82,6,0,0,5,56061.34,20.24,47.4,28.4,9.57,9,3,0,0.0215,0.1413,INSUFFICIENT_FUNDS
T1000011,59650,8056,WALLET,140.81,ECOM,0,HDFC,SBI,PRIVATE,ANDROID,10,5,0,AIRTEL,4G,152,0.13,-87,216.4,4,0,0,301,54095.73,390.94,20.1,16.2,13.08,11,6,0,0.085,0.0137,MERCHANT_CONFIGURATION_ISSUE
T1000012,93432,3507,UPI,198.0,ECOM,0,SBI,YES,NBFC,ANDROID,11,9,0,JIO,4G,173,2.78,-87,172.85,1,1,0,735,60000.0,748.33,24.0,6.7,1.27,23,4,1,0.1288,0.012,MERCHANT_CONFIGURATION_ISSUE
T1000013,49522,4497,CARD,208.34,PHARMACY,0,PNB,AXIS,PUBLIC,ANDROID,10,8,1,JIO,4G,160,2.63,-76,410.1,3,2,0,934,56661.65,1122.43,53.0,39.5,1.7,22,2,1,0.0144,0.1033,BANK_SERVER_DOWN
T1000014,82006,7213,UPI,276.43,FOOD,0,AXIS,ICICI,PRIVATE,ANDROID,8,12,0,JIO,4G,142,3.65,-90,137.59,4,1,0,800,48254.6,399.68,56.6,26.1,9.4,3,0,1,0.0646,0.0989,NETWORK_TIMEOUT
T1000015,69240,1666,CARD,134.34,ECOM,0,BOB,ICICI,NBFC,ANDROID,11,6,0,VI,4G,181,0.7,-93,73.76,2,0,0,722,43911.45,98.62,56.0,36.7,2.2,12,3,0,0.0508,0.0592,INSUFFICIENT_FUNDS
T1000016,82406,1511,UPI,62.84,GROCERY,0,SBI,IDFC,PUBLIC,ANDROID,8,14,0,AIRTEL,4G,141,1.65,-94,129.09,3,0,1,5,43410.69,294.99,36.7,42.0,12.94,15,0,0,0.1115,0.0751,MERCHANT_CONFIGURATION_ISSUE
T1000017,93726,6213,UPI,63.73,GROCERY,0,IDFC,PNB,PRIVATE,IOS,14,10,0,JIO,4G,89,0.73,-69,340.57,6,1,0,802,52023.49,650.9,55.6,34.8,3.06,6,1,1,0.028,0.0115,LIMIT_EXCEEDED
T1000018,52204,6533,UPI,141.1,FOOD,0,KOTAK,HDFC,COOP,ANDROID,9,9,0,JIO,4G,83,0.26,-89,135.04,0,2,0,142,44371.32,231.07,25.8,20.8,4.92,5,1,1,0.083,0.0397,MERCHANT_CONFIGURATION_ISSUE
T1000019,31798,7637,UPI,336.0,GROCERY,0,SBI,KOTAK,PRIVATE,ANDROID,13,18,0,VI,4G,151,0.79,-73,406.26,8,2,0,364,56877.85,154.26,77.9,42.7,0.45,4,6,1,0.0518,0.1418,BANK_SERVER_DOWN
T1000020,10310,5527,UPI,132.8,ECOM,0,IDFC,IDFC,PRIVATE,ANDROID,9,9,0,AIRTEL,4G,224,0.48,-70,209.65,4,0,0,399,44123.94,820.74,32.4,19.7,2.14,19,3,0,0.0113,0.0383,PIN_OR_OTP_FAILED
T1000021,54868,9479,UPI,121.35,FOOD,0,SBI,KOTAK,PRIVATE,ANDROID,14,13,0,AIRTEL,WIFI,66,0.85,-82,950.62,1,1,0,444,50525.85,1822.4,32.8,29.0,6.8,6,2,1,0.0247,0.0578,PIN_OR_OTP_FAILED
T1000022,71077,5331,CARD,317.13,RETAIL,0,PNB,SBI,PRIVATE,ANDROID,14,14,0,AIRTEL,WIFI,117,0.66,-99,53.1,3,1,1,618,58576.74,36.87,31.5,48.0,0.71,12,4,0,0.0947,0.0737,BANK_SERVER_DOWN
T1000023,54053,1062,UPI,185.09,FUEL,0,BOB,ICICI,PRIVATE,ANDROID,8,15,0,AIRTEL,4G,173,0.61,-95,443.71,3,0,0,700,56707.63,1878.82,41.3,23.9,3.79,19,5,0,0.0406,0.0144,INVALID_VPA_OR_CARD
T1000024,24069,5996,UPI,208.31,RETAIL,0,BOB,BOB,PRIVATE,ANDROID,14,15,0,VI,5G,103,3.97,-91,221.64,2,1,0,1128,48865.07,501.28,37.6,12.0,14.48,1,0,1,0.0118,0.045,NETWORK_TIMEOUT
T1000025,75028,6638,UPI,178.13,BILLS,0,IDFC,BOB,PRIVATE,ANDROID,8,11,0,AIRTEL,5G,172,1.29,-83,50.0,1,1,0,696,42712.11,101.38,25.6,10.3,5.95,23,0,1,0.015,0.0477,INSUFFICIENT_FUNDS
T1000026,45329,5014,UPI,120.22,ECOM,0,IDFC,PNB,PRIVATE,ANDROID,12,10,0,AIRTEL,5G,62,3.01,-84,405.24,4,1,1,1419,39786.99,915.37,39.6,47.8,4.9,21,4,0,0.0165,0.03,NETWORK_TIMEOUT
T1000027,41346,8779,UPI,189.64,GROCERY,0,SBI,SBI,PRIVATE,ANDROID,12,18,0,AIRTEL,4G,20,3.59,-97,97.72,3,1,0,318,44488.13,96.56,48.0,18.5,1.39,14,0,0,0.0699,0.0167,INSUFFICIENT_FUNDS
T1000028,25278,4098,UPI,64.3,ECOM,0,KOTAK,BOB,PUBLIC,ANDROID,9,6,0,JIO,WIFI,160,0.1,-85,195.81,6,1,0,5,43634.01,468.85,45.8,18.8,1.33,13,1,0,0.01,0.0549,LIMIT_EXCEEDED
T1000029,48767,2118,UPI,119.14,ECOM,0,SBI,AXIS,PRIVATE,IOS,17,9,0,JIO,4G,150,0.59,-88,136.5,6,2,0,5,41055.78,232.99,63.6,37.9,11.94,21,4,0,0.07,0.0568,BANK_SERVER_DOWN
T1000030,11292,8708,UPI,282.08,TRAVEL,0,AXIS,IDFC,PUBLIC,ANDROID,9,10,0,BSNL,WIFI,26,0.7,-91,114.03,4,0,0,5,24030.5,286.13,20.9,20.8,6.43,20,3,0,0.0886,0.092,INSUFFICIENT_FUNDS
T1000031,53394,8941,CARD,208.25,FOOD,0,HDFC,BOB,NBFC,ANDROID,11,12,0,JIO,5G,40,0.88,-103,395.21,6,0,0,222,40921.39,256.41,43.2,18.7,3.52,15,1,0,0.0073,0.067,BANK_SERVER_DOWN
T1000032,90162,9822,CARD,80.71,FUEL,0,SBI,SBI,PUBLIC,IOS,14,9,0,JIO,5G,89,0.65,-75,240.44,2,1,0,673,56140.19,401.44,21.4,12.2,2.18,6,6,1,0.0382,0.0286,INVALID_VPA_OR_CARD
